Empresa,Cadastro,Já operou?,Teve possibilidade de operar?,cadastro_periodo
Empresa 1,202208,Sim,Sim,2022-08
Empresa 10,202208,Sim,Sim,2022-08
Empresa 100,202208,Sim,Sim,2022-08
Empresa 1000,202106,Sim,Sim,2021-06
Empresa 10000,202112,Não,Sim,2021-12
Empresa 10002,202105,Não,Sim,2021-05
Empresa 1001,202204,Sim,Sim,2022-04
Empresa 10015,202001,Não,Sim,2020-01
Empresa 10019,202209,Sim,Sim,2022-09
Empresa 1002,202204,Sim,Sim,2022-04
Empresa 10027,201908,Sim,Sim,2019-08
Empresa 1003,202106,Sim,Sim,2021-06
Empresa 10032,202206,Não,Sim,2022-06
Empresa 10033,202103,Sim,Sim,2021-03
Empresa 1004,202206,Sim,Sim,2022-06
Empresa 1005,202207,Sim,Sim,2022-07
Empresa 10050,202210,Sim,Sim,2022-10
Empresa 1006,202207,Sim,Sim,2022-07
Empresa 10061,202009,Não,Sim,2020-09
Empresa 10062,202004,Sim,Sim,2020-04
Empresa 10068,202007,Não,Sim,2020-07
Empresa 10069,202302,Não,Sim,2023-02
Empresa 1007,202105,Sim,Sim,2021-05
Empresa 10078,202104,Não,Sim,2021-04
Empresa 1008,202204,Sim,Sim,2022-04
Empresa 10083,202301,Não,Sim,2023-01
Empresa 1009,202204,Sim,Sim,2022-04
Empresa 101,202207,Sim,Sim,2022-07
Empresa 1010,202202,Sim,Sim,2022-02
Empresa 10103,202012,Sim,Sim,2020-12
Empresa 10107,202212,Não,Sim,2022-12
Empresa 1011,202202,Sim,Sim,2022-02
Empresa 10111,202009,Sim,Sim,2020-09
Empresa 10112,202012,Não,Sim,2020-12
Empresa 10116,202303,Não,Sim,2023-03
Empresa 10119,202001,Sim,Sim,2020-01
Empresa 1012,202202,Sim,Sim,2022-02
Empresa 10127,202303,Não,Sim,2023-03
Empresa 1013,202109,Sim,Sim,2021-09
Empresa 10131,202212,Sim,Sim,2022-12
Empresa 10133,202007,Não,Sim,2020-07
Empresa 10134,202010,Sim,Sim,2020-10
Empresa 10138,202305,Não,Sim,2023-05
Empresa 1014,202301,Sim,Sim,2023-01
Empresa 10143,202012,Não,Sim,2020-12
Empresa 10147,202212,Não,Sim,2022-12
Empresa 10149,201905,Sim,Sim,2019-05
Empresa 1015,202204,Sim,Sim,2022-04
Empresa 10154,202104,Não,Sim,2021-04
Empresa 1016,202204,Sim,Sim,2022-04
Empresa 10160,202202,Sim,Sim,2022-02
Empresa 10165,202210,Não,Sim,2022-10
Empresa 1017,202205,Sim,Sim,2022-05
Empresa 10177,202103,Não,Sim,2021-03
Empresa 1018,202204,Sim,Sim,2022-04
Empresa 10180,202202,Não,Sim,2022-02
Empresa 10186,202004,Não,Sim,2020-04
Empresa 10187,202007,Não,Sim,2020-07
Empresa 10189,202010,Sim,Sim,2020-10
Empresa 1019,202203,Sim,Sim,2022-03
Empresa 10195,202008,Sim,Sim,2020-08
Empresa 10197,202012,Não,Sim,2020-12
Empresa 10199,202012,Não,Sim,2020-12
Empresa 102,202306,Sim,Sim,2023-06
Empresa 1020,202203,Sim,Sim,2022-03
Empresa 10202,202211,Sim,Sim,2022-11
Empresa 10203,202103,Não,Sim,2021-03
Empresa 1021,202203,Sim,Sim,2022-03
Empresa 10218,202106,Não,Sim,2021-06
Empresa 1022,202208,Sim,Sim,2022-08
Empresa 10221,202212,Sim,Sim,2022-12
Empresa 10225,202106,Sim,Sim,2021-06
Empresa 1023,202206,Sim,Sim,2022-06
Empresa 10230,202102,Não,Sim,2021-02
Empresa 1024,202205,Sim,Sim,2022-05
Empresa 10241,202106,Não,Sim,2021-06
Empresa 10244,202305,Não,Sim,2023-05
Empresa 10247,202111,Sim,Sim,2021-11
Empresa 1025,202204,Sim,Sim,2022-04
Empresa 10250,202204,Não,Sim,2022-04
Empresa 10251,202212,Sim,Sim,2022-12
Empresa 10256,202004,Sim,Sim,2020-04
Empresa 1026,202203,Sim,Sim,2022-03
Empresa 1027,202204,Sim,Sim,2022-04
Empresa 1028,202207,Sim,Sim,2022-07
Empresa 10282,202101,Sim,Sim,2021-01
Empresa 10283,202206,Sim,Sim,2022-06
Empresa 10287,202301,Não,Sim,2023-01
Empresa 1029,202212,Sim,Sim,2022-12
Empresa 10294,202205,Não,Sim,2022-05
Empresa 10299,202008,Não,Sim,2020-08
Empresa 103,202210,Sim,Sim,2022-10
Empresa 1030,202107,Sim,Sim,2021-07
Empresa 10305,202002,Não,Sim,2020-02
Empresa 1031,202207,Sim,Sim,2022-07
Empresa 10311,202012,Não,Sim,2020-12
Empresa 10312,202112,Sim,Sim,2021-12
Empresa 1032,202203,Sim,Sim,2022-03
Empresa 1033,202203,Sim,Sim,2022-03
Empresa 10330,202111,Não,Sim,2021-11
Empresa 10335,202201,Sim,Sim,2022-01
Empresa 1034,202308,Não,Não,2023-08
Empresa 10344,201911,Sim,Sim,2019-11
Empresa 10348,202305,Não,Sim,2023-05
Empresa 1035,202311,Não,Não,2023-11
Empresa 10359,202009,Não,Sim,2020-09
Empresa 1036,202206,Sim,Sim,2022-06
Empresa 10369,202007,Não,Sim,2020-07
Empresa 1037,202210,Sim,Sim,2022-10
Empresa 1038,202208,Sim,Sim,2022-08
Empresa 10389,201901,Sim,Sim,2019-01
Empresa 1039,202208,Sim,Sim,2022-08
Empresa 104,202208,Sim,Sim,2022-08
Empresa 1040,202206,Sim,Sim,2022-06
Empresa 10400,202203,Sim,Sim,2022-03
Empresa 1041,202203,Sim,Sim,2022-03
Empresa 1042,202208,Sim,Sim,2022-08
Empresa 10421,202007,Não,Sim,2020-07
Empresa 1043,202206,Sim,Sim,2022-06
Empresa 10430,202301,Não,Sim,2023-01
Empresa 10431,202102,Sim,Sim,2021-02
Empresa 10439,202002,Sim,Sim,2020-02
Empresa 1044,202206,Sim,Sim,2022-06
Empresa 10448,202012,Não,Sim,2020-12
Empresa 1045,202206,Sim,Sim,2022-06
Empresa 10452,202204,Não,Sim,2022-04
Empresa 10459,202010,Sim,Sim,2020-10
Empresa 1046,202206,Sim,Sim,2022-06
Empresa 10465,202104,Não,Sim,2021-04
Empresa 10467,202009,Sim,Sim,2020-09
Empresa 1047,202206,Sim,Sim,2022-06
Empresa 1048,202206,Sim,Sim,2022-06
Empresa 1049,202204,Sim,Sim,2022-04
Empresa 10497,202007,Não,Sim,2020-07
Empresa 105,202306,Sim,Sim,2023-06
Empresa 1050,202206,Sim,Sim,2022-06
Empresa 10508,202203,Sim,Sim,2022-03
Empresa 1051,202204,Não,Não,2022-04
Empresa 10513,202305,Não,Sim,2023-05
Empresa 10517,202107,Sim,Sim,2021-07
Empresa 1052,202211,Sim,Sim,2022-11
Empresa 10524,202209,Não,Sim,2022-09
Empresa 10526,202002,Sim,Sim,2020-02
Empresa 10529,202204,Não,Sim,2022-04
Empresa 1053,202202,Sim,Sim,2022-02
Empresa 10534,202110,Não,Sim,2021-10
Empresa 10538,202203,Sim,Sim,2022-03
Empresa 1054,202204,Sim,Sim,2022-04
Empresa 10542,202302,Não,Sim,2023-02
Empresa 10546,202006,Sim,Sim,2020-06
Empresa 10547,202203,Sim,Sim,2022-03
Empresa 1055,202206,Sim,Sim,2022-06
Empresa 1056,202301,Sim,Sim,2023-01
Empresa 1057,202204,Sim,Sim,2022-04
Empresa 10570,202110,Sim,Sim,2021-10
Empresa 1058,202205,Sim,Sim,2022-05
Empresa 10580,202201,Sim,Sim,2022-01
Empresa 1059,202205,Sim,Sim,2022-05
Empresa 10590,202203,Não,Sim,2022-03
Empresa 10591,202204,Não,Sim,2022-04
Empresa 10595,202207,Sim,Sim,2022-07
Empresa 10596,202110,Não,Sim,2021-10
Empresa 10598,202011,Não,Sim,2020-11
Empresa 10599,202203,Não,Sim,2022-03
Empresa 106,202101,Sim,Sim,2021-01
Empresa 1060,202204,Sim,Sim,2022-04
Empresa 10604,202104,Não,Sim,2021-04
Empresa 10605,202109,Sim,Sim,2021-09
Empresa 10606,202009,Sim,Sim,2020-09
Empresa 1061,202204,Sim,Sim,2022-04
Empresa 10610,202309,Não,Sim,2023-09
Empresa 10615,202006,Não,Sim,2020-06
Empresa 10617,202007,Não,Sim,2020-07
Empresa 1062,202207,Sim,Sim,2022-07
Empresa 10624,202205,Sim,Sim,2022-05
Empresa 1063,202301,Sim,Sim,2023-01
Empresa 10630,202107,Não,Não,2021-07
Empresa 1064,202204,Sim,Sim,2022-04
Empresa 10640,202005,Sim,Sim,2020-05
Empresa 10641,202105,Não,Sim,2021-05
Empresa 1065,202203,Sim,Sim,2022-03
Empresa 10650,202105,Sim,Sim,2021-05
Empresa 10653,202208,Sim,Sim,2022-08
Empresa 1066,202203,Sim,Sim,2022-03
Empresa 10668,202002,Sim,Sim,2020-02
Empresa 10669,202108,Não,Não,2021-08
Empresa 1067,202206,Sim,Sim,2022-06
Empresa 10671,202007,Não,Sim,2020-07
Empresa 10674,202007,Sim,Sim,2020-07
Empresa 1068,202206,Sim,Sim,2022-06
Empresa 10687,202009,Não,Sim,2020-09
Empresa 1069,202204,Sim,Sim,2022-04
Empresa 107,202307,Sim,Sim,2023-07
Empresa 1070,202211,Sim,Sim,2022-11
Empresa 10703,202109,Não,Não,2021-09
