bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-05,Empresa 5306,49.2,202205,2023-05,2022-05,já cadastrado,True,False
2023-05,Empresa 3050,11.58,202208,2023-05,2022-08,já cadastrado,True,False
2023-05,Empresa 7649,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7650,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2127,100.0,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 5583,100.0,202205,2023-05,2022-05,já cadastrado,True,False
2023-05,Empresa 7651,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7652,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 335,5.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 7653,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7654,5.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 6625,100.0,202111,2023-05,2021-11,já cadastrado,True,False
2023-05,Empresa 7655,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7656,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7657,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1082,12.47,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 7658,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7659,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6794,100.0,201909,2023-05,2019-09,já cadastrado,True,False
2023-05,Empresa 7660,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7661,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7662,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 2614,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 7663,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7664,5.0,202006,2023-05,2020-06,já cadastrado,True,False
2023-05,Empresa 7665,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7666,5.0,202102,2023-05,2021-02,já cadastrado,True,False
2023-05,Empresa 7667,5.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 3506,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 3055,36.55,201911,2023-05,2019-11,já cadastrado,True,False
2023-05,Empresa 4562,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 7668,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7669,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7670,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6999,100.0,202104,2023-05,2021-04,já cadastrado,True,False
2023-05,Empresa 7671,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7672,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7673,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7674,5.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 7675,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7676,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7677,5.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 7678,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2031,98.04,201908,2023-05,2019-08,já cadastrado,True,False
2023-05,Empresa 7679,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7680,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 4565,100.0,202111,2023-05,2021-11,já cadastrado,True,False
2023-05,Empresa 7681,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 803,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 7682,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7683,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7684,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7685,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3758,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7686,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7687,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7688,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7689,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7690,5.0,202001,2023-05,2020-01,já cadastrado,True,False
2023-05,Empresa 7691,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7692,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5048,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 7693,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 75,100.0,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 7695,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7696,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1602,100.0,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 7697,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3489,100.0,201909,2023-05,2019-09,já cadastrado,True,False
2023-05,Empresa 7701,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7702,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7703,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 122,100.0,202210,2023-05,2022-10,já cadastrado,True,False
