MesAno,Empresa,Valor,Segmento,mes
202301,Empresa 1,165198.8452,Não Tiny,2023-01
202301,Empresa 2,25845.600000000002,Tiny,2023-01
202301,Empresa 3,284800.0,Tiny,2023-01
202301,Empresa 4,17177.0,Tiny,2023-01
202301,Empresa 5,1522905.6822,Não Tiny,2023-01
202301,Empresa 6,288932.07420000003,Não Tiny,2023-01
202301,Empresa 7,32727.257999999998,Não Tiny,2023-01
202301,Empresa 8,914868.5046,Não Tiny,2023-01
202301,Empresa 9,35600.9968,Não Tiny,2023-01
202301,Empresa 10,149081.3724,Não Tiny,2023-01
202301,Empresa 11,150094.673,Tiny,2023-01
202301,Empresa 12,7682480.0,Não Tiny,2023-01
202301,Empresa 13,125167.82,Tiny,2023-01
202301,Empresa 14,210891.35619999998,Não Tiny,2023-01
202301,Empresa 15,1820677.3788,Não Tiny,2023-01
202301,Empresa 16,123775.8956,Tiny,2023-01
202301,Empresa 17,114577.8346,Tiny,2023-01
202301,Empresa 18,35832.5748,Tiny,2023-01
202301,Empresa 19,1602.0,Tiny,2023-01
202301,Empresa 20,7300.990400000001,Tiny,2023-01
202301,Empresa 21,707728.0,Não Tiny,2023-01
202301,Empresa 22,29545.152000000002,Não Tiny,2023-01
202301,Empresa 23,109576.8,Tiny,2023-01
202301,Empresa 24,965907.655,Não Tiny,2023-01
202301,Empresa 25,27416.7348,Tiny,2023-01
202301,Empresa 26,274498.4636,Não Tiny,2023-01
202301,Empresa 27,16518.4,Tiny,2023-01
202301,Empresa 28,296112.3628,Tiny,2023-01
202301,Empresa 29,1179419.8831999998,Tiny,2023-01
202301,Empresa 30,126328.20199999999,Não Tiny,2023-01
202301,Empresa 31,40575.901000000005,Tiny,2023-01
202301,Empresa 32,163651.77599999998,Tiny,2023-01
202301,Empresa 33,34551.170600000005,Tiny,2023-01
202301,Empresa 34,94240.409,Tiny,2023-01
202301,Empresa 35,5664.85,Tiny,2023-01
202301,Empresa 36,51772.9198,Tiny,2023-01
202301,Empresa 37,36103.562000000005,Tiny,2023-01
202301,Empresa 38,59986.623,Tiny,2023-01
202301,Empresa 39,283633.45920000004,Não Tiny,2023-01
202301,Empresa 40,32630.426000000003,Tiny,2023-01
202301,Empresa 41,180205.7582,Não Tiny,2023-01
202301,Empresa 42,147764.31480000002,Não Tiny,2023-01
202301,Empresa 43,13791.3332,Não Tiny,2023-01
202301,Empresa 44,140465.14,Tiny,2023-01
202301,Empresa 45,309919.5736,Não Tiny,2023-01
202302,Empresa 3,125721.40000000001,Tiny,2023-02
202302,Empresa 4,60199.6,Tiny,2023-02
202302,Empresa 46,98983.0588,Não Tiny,2023-02
202302,Empresa 6,30572.639199999998,Não Tiny,2023-02
202302,Empresa 7,55803.9078,Não Tiny,2023-02
202302,Empresa 8,207991.309,Não Tiny,2023-02
202302,Empresa 47,83538.337,Não Tiny,2023-02
202302,Empresa 9,987337.0750000001,Não Tiny,2023-02
