Empresa,Cadastro,Já operou?,Teve possibilidade de operar?,cadastro_periodo
Empresa 10000,202112,Não,Sim,2021-12
Empresa 10002,202105,Não,Sim,2021-05
Empresa 10015,202001,Não,Sim,2020-01
Empresa 10032,202206,Não,Sim,2022-06
Empresa 10061,202009,Não,Sim,2020-09
Empresa 10068,202007,Não,Sim,2020-07
Empresa 10069,202302,Não,Sim,2023-02
Empresa 10078,202104,Não,Sim,2021-04
Empresa 10083,202301,Não,Sim,2023-01
Empresa 10107,202212,Não,Sim,2022-12
Empresa 10112,202012,Não,Sim,2020-12
Empresa 10116,202303,Não,Sim,2023-03
Empresa 10127,202303,Não,Sim,2023-03
Empresa 10133,202007,Não,Sim,2020-07
Empresa 10138,202305,Não,Sim,2023-05
Empresa 10143,202012,Não,Sim,2020-12
Empresa 10147,202212,Não,Sim,2022-12
Empresa 10154,202104,Não,Sim,2021-04
Empresa 10165,202210,Não,Sim,2022-10
Empresa 10177,202103,Não,Sim,2021-03
Empresa 10180,202202,Não,Sim,2022-02
Empresa 10186,202004,Não,Sim,2020-04
Empresa 10187,202007,Não,Sim,2020-07
Empresa 10197,202012,Não,Sim,2020-12
Empresa 10199,202012,Não,Sim,2020-12
Empresa 10203,202103,Não,Sim,2021-03
Empresa 10218,202106,Não,Sim,2021-06
Empresa 10230,202102,Não,Sim,2021-02
Empresa 10241,202106,Não,Sim,2021-06
Empresa 10244,202305,Não,Sim,2023-05
Empresa 10250,202204,Não,Sim,2022-04
Empresa 10287,202301,Não,Sim,2023-01
Empresa 10294,202205,Não,Sim,2022-05
Empresa 10299,202008,Não,Sim,2020-08
Empresa 10305,202002,Não,Sim,2020-02
Empresa 10311,202012,Não,Sim,2020-12
Empresa 10330,202111,Não,Sim,2021-11
Empresa 10348,202305,Não,Sim,2023-05
Empresa 10359,202009,Não,Sim,2020-09
Empresa 10369,202007,Não,Sim,2020-07
Empresa 10421,202007,Não,Sim,2020-07
Empresa 10430,202301,Não,Sim,2023-01
Empresa 10448,202012,Não,Sim,2020-12
Empresa 10452,202204,Não,Sim,2022-04
Empresa 10465,202104,Não,Sim,2021-04
Empresa 10497,202007,Não,Sim,2020-07
Empresa 10513,202305,Não,Sim,2023-05
