bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-05,Empresa 7662,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 803,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 770,5.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 7805,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 7842,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 6855,100.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 1391,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 7974,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 3223,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 5237,55.1,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 873,100.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 1142,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 2805,100.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 6288,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 1714,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 8130,5.0,202311,2023-05,2023-11,cadastro futuro,False,True
2023-05,Empresa 1774,100.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 8180,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 5499,55.35,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 8323,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 8342,5.0,202311,2023-05,2023-11,cadastro futuro,False,True
2023-05,Empresa 3770,91.21,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 3112,100.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 8427,5.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 4920,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 8473,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 1150,100.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 1138,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 8596,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 8668,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 8709,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 1235,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 5513,100.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3960,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 8820,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 5095,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 4188,100.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 2112,100.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 8923,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 1737,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 1904,5.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 637,5.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 9121,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
