Empresa,Valor,share,share_acumulado,pct_fornecedores
Empresa 6099,1548784611.5964,0.030088256660773766,0.030088256660773766,0.0001307531380753138
Empresa 5982,971087062.243,0.018865319651263566,0.04895357631203733,0.0002615062761506276
Empresa 2032,728439362.3752,0.014151399964107412,0.06310497627614474,0.0003922594142259414
Empresa 1931,682744081.0722001,0.013263677202829612,0.07636865347897435,0.0005230125523012552
Empresa 1935,678722341.8988,0.013185546829137933,0.08955420030811229,0.000653765690376569
Empresa 6391,638549698.8842,0.012405112426113332,0.10195931273422562,0.0007845188284518828
Empresa 1933,581726612.052,0.011301209657411106,0.11326052239163673,0.0009152719665271967
Empresa 7219,525258751.52500004,0.010204207874271037,0.12346473026590776,0.0010460251046025104
Empresa 2048,523718466.3144,0.010174284735572262,0.13363901500148,0.0011767782426778243
Empresa 2183,457419298.2708,0.008886290026975918,0.14252530502845592,0.001307531380753138
Empresa 322,447176490.0872,0.008687302873276367,0.1512126079017323,0.001438284518828452
Empresa 1493,389046652.60260004,0.007558013844453364,0.15877062174618567,0.0015690376569037657
Empresa 2087,380980779.9868,0.007401318043345715,0.16617193978953138,0.0016997907949790796
Empresa 1996,375643930.87160003,0.007297639013520872,0.17346957880305225,0.0018305439330543933
Empresa 1491,372863640.078,0.007243626271940752,0.180713205074993,0.001961297071129707
Empresa 2915,351457219.60040003,0.006827763492380598,0.1875409685673736,0.0020920502092050207
Empresa 1499,347368367.27140003,0.006748329310634599,0.1942892978780082,0.002222803347280335
Empresa 2031,329242990.2846,0.006396207401126476,0.20068550527913467,0.0023535564853556486
Empresa 2585,318012074.1792,0.006178024263339107,0.20686352954247378,0.0024843096234309623
Empresa 1934,305944602.556,0.005943589351778879,0.21280711889425266,0.002615062761506276
Empresa 1412,297099891.3852,0.005771763045005892,0.21857888193925856,0.0027458158995815897
Empresa 2033,295573415.3078,0.005742108176498385,0.22432099011575696,0.002876569037656904
Empresa 1940,293255440.4788,0.005697076852538963,0.2300180669682959,0.0030073221757322176
Empresa 1932,283159707.127,0.005500946923307169,0.23551901389160307,0.0031380753138075313
Empresa 1400,276541291.547,0.0053723708868669276,0.24089138477847,0.003268828451882845
Empresa 5676,269145390.0518,0.005228690622510475,0.24612007540098046,0.003399581589958159
